Title,Author,Content,Url,"Created At"
"Title example One","Author Name","Content of the article",https://telegra.ph/,"2026-03-28 16:01:00"
"Title example Two","Some author","Content of the article two ...",,
"Title example Three","Some author","Content of the article two ...",,
"Title example One","Author Name","Content of the article",https://telegra.ph/,"2026-03-28 16:01:00"
"Майбутнє штучного інтелекту в 2026 році","Сергій Техно","Штучний інтелект продовжує змінювати світ. У цьому році ми бачимо неймовірний прогрес у галузі автономних агентів.",https://telegra.ph/,"2026-03-28 18:00:25"
"Основи PHP 8.4","Олексій Код","PHP 8.4 приносить багато цікавих оновлень, включаючи property hooks.",https://telegra.ph/,"2026-03-28 18:00:26"
"Чому Python лідирує в 2026","Марія Дата","Простота синтаксису робить Python незамінним для аналізу даних.",https://telegra.ph/,"2026-03-28 18:00:28"
"Секрети продуктивної роботи вдома у 2026 році","Олександр Гік","Віддалена робота стала стандартом. Для підтримки продуктивності важливо мати чіткий розклад, ергономічне робоче місце та робити регулярні перерви на відпочинок.",https://telegra.ph/,"2026-03-28 18:03:51"
"Топ 5 місць для подорожей весною","Мандрівниця Олена","Цього року трендовими напрямками стали затишні будиночки в Карпатах, узбережжя Португалії та квітуча Японія.",https://telegra.ph/,"2026-03-28 18:03:52"
"Як почати займатися йогою самостійно","Йога Майстер","Для старту достатньо лише килимка та 15 хвилин вільного часу. Починайте з базових асан та фокусуйтеся на диханні.",https://telegra.ph/,"2026-03-28 18:03:54"
"Секрети продуктивної роботи вдома у 2026 році","Олександр Гік","Віддалена робота стала стандартом. Для підтримки продуктивності важливо мати чіткий розклад, ергономічне робоче місце та робити регулярні перерви на відпочинок.",https://telegra.ph/,"2026-03-28 20:47:51"
"Основи PHP 8.4 та нові хуки","Олексій Код","PHP 8.4 приносить неймовірні оновлення, які роблять код чистішим та швидшим.",https://telegra.ph/,"2026-03-28 20:47:52"
"Чому Python лідирує в аналізі даних","Марія Дата","Велика кількість бібліотек та проста підтримка роблять Python фаворитом у 2026 році.",https://telegra.ph/,"2026-03-28 20:47:53"
"Секрети продуктивної роботи вдома у 2026 році","Олександр Гік","Віддалена робота стала стандартом. Для підтримки продуктивності важливо мати чіткий розклад.",https://telegra.ph/,"2026-03-28 21:16:03"
"Основи PHP 8.4","Олексій Код","PHP 8.4 приносить багато цікавих оновлень.",https://telegra.ph/,"2026-03-28 21:16:04"
"Чому Python лідирує","Марія Дата","Python залишається фаворитом у 2026 році.",https://telegra.ph/,"2026-03-28 21:16:05"
"Title example Two","Some author","Content of the article two ...",https://telegra.ph/Title-example-Two-03-28,"2026-03-28 22:00:19"
"Title example Three","Some author","Content of the article two ...",https://telegra.ph/Title-example-Three-03-28,"2026-03-28 22:00:20"
Title,Author,Content,https://telegra.ph/Title-03-28-91,"2026-03-28 22:00:21"
"Title example Two","Some author","Content of the article two ...",https://telegra.ph/Title-example-Two-03-28-2,"2026-03-28 22:00:22"
"Title example Three","Some author","Content of the article two ...",https://telegra.ph/Title-example-Three-03-28-2,"2026-03-28 22:00:23"
Title,Author,Content,https://telegra.ph/Title-03-28-92,"2026-03-28 22:00:24"
"Title example Two","Some author","Content of the article two ...",https://telegra.ph/Title-example-Two-03-28-3,"2026-03-28 22:00:25"
"Title example Three","Some author","Content of the article two ...",https://telegra.ph/Title-example-Three-03-28-3,"2026-03-28 22:00:26"
Title,Author,Content,https://telegra.ph/Title-03-28-93,"2026-03-28 22:00:28"
"Title example Two","Some author","Content of the article two ...",https://telegra.ph/Title-example-Two-03-28-4,"2026-03-28 22:00:29"
"Title example Three","Some author","Content of the article two ...",https://telegra.ph/Title-example-Three-03-28-4,"2026-03-28 22:00:30"
